datetime,sym,bid_price,bid_size,ask_price,ask_size
2025.05.23D08:03:18.051486879,IBM,258.1,1,260.1,1
2025.05.23D08:03:18.073228516,IBM,258.1,1,259.8,1
2025.05.23D08:03:19.399264976,IBM,258.1,1,259.6,1
2025.05.23D08:03:19.557335563,IBM,258.1,1,259.5,1
2025.05.23D08:03:19.934572065,IBM,258.1,1,263.77,3
2025.05.23D08:03:19.934587124,IBM,258.1,1,259.6,1
2025.05.23D08:03:19.934607208,IBM,258.1,1,263.77,3
2025.05.23D08:03:19.934652300,IBM,258.1,1,259.8,1
2025.05.23D08:03:19.944721189,IBM,258.2,1,259.8,1
2025.05.23D08:03:19.996629543,IBM,258.2,1,259.6,1
2025.05.23D08:03:20.077827511,IBM,258.2,1,259.5,1
2025.05.23D08:03:21.185590222,IBM,258.2,1,263.77,3
2025.05.23D08:03:21.185605280,IBM,258.2,1,259.8,1
2025.05.23D08:03:21.250880361,IBM,258.2,1,259.6,1
2025.05.23D08:03:21.326936181,IBM,258.2,1,259.5,1
2025.05.23D08:03:21.527146954,IBM,258.2,1,259.4,1
2025.05.23D08:03:22.889549785,IBM,258.2,1,263.77,3
